KÅRBLOCK WL RUTAT	4	25,00	-100,00	
NOCCO CARNIVAL	1	27,55	-27,55	
Summa köp			-127,55	2019-08-27
Ladda kort	1	400,00	400,00	
Summa köp			400,00	2019-08-27
GRILLMACKA	1	46,75	-46,75	
Summa köp			-46,75	2019-05-29
LITEN EKO. KAFFE/TE	1	12,00	-12,00	
KANELBULLE FÖRJÄST	1	9,50	-9,50	
Summa köp			-21,50	2019-05-29
EXPRESS TA	1	45,00	-45,00	
Summa köp			-45,00	2019-05-28
SALLAD KYCKLING PASTA	1	54,00	-54,00	
Summa köp			-54,00	2019-05-27
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-27
MUFFINS	2	21,00	-42,00	
REDBULL MEDLEM	2	15,00	-30,00	
Summa köp			-72,00	2019-05-24
PRIPPS BLÅ FAT 40CL	1	39,10	-39,10	
KAKA 17 KR	1	15,00	-15,00	
Summa köp			-54,10	2019-05-23
EXPRESS TA	2	45,00	-90,00	
Summa köp			-90,00	2019-05-23
Ladda kort	1	400,00	400,00	
Summa köp			400,00	2019-05-23
KAFFE	2	11,00	-22,00	
Summa köp			-22,00	2019-05-23
MACKA 39	1	44,00	-44,00	
Summa köp			-44,00	2019-05-21
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-21
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-20
BROOKLYN LAGER 40 CL	1	49,30	-49,30	
Summa köp			-49,30	2019-05-16
KOCKENS BURGARE	1	79,05	-79,05	
CARLS UNFILT FAT 40CL	1	44,20	-44,20	
Summa köp			-123,25	2019-05-16
PANINI	1	30,00	-30,00	
Summa köp			-30,00	2019-05-16
REDBULL MEDLEM	2	15,00	-30,00	
Summa köp			-30,00	2019-05-16
VEG. EXPRESS TA	1	45,00	-45,00	
Summa köp			-45,00	2019-05-16
Ladda kort	1	400,00	400,00	
Summa köp			400,00	2019-05-16
STOR KAFFE	1	16,00	-16,00	
Summa köp			-16,00	2019-05-16
DAGENS FIKA	1	21,00	-21,00	
Summa köp			-21,00	2019-05-14
CLASSIC FISK	1	65,00	-65,00	
Summa köp			-65,00	2019-05-13
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-13
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-09
CLASSIC KÖTT	1	65,00	-65,00	
Summa köp			-65,00	2019-05-08
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-08
90 GR BLOCK RUTAT	1	27,00	-27,00	
OAT YGH SMOOTHIE ANANAS	1	15,20	-15,20	
AIN STEIN STIFT 0.7 HB	1	25,00	-25,00	
TWIX 50GR	1	9,50	-9,50	
Summa köp			-76,70	2019-05-07
MACKA 23	1	44,00	-44,00	
Summa köp			-44,00	2019-05-07
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-07
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-06
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-05-03
BAGUETTE	1	35,00	-35,00	
Summa köp			-35,00	2019-05-02
Ladda kort	1	400,00	400,00	
Summa köp			400,00	2019-05-02
EXPRESS TA	1	45,00	-45,00	
Summa köp			-45,00	2019-05-02
KAFFE	1	10,00	-10,00	
Summa köp			-10,00	2019-04-30
KAFFE	1	10,00	-10,00	
Summa köp			-10,00	2019-04-29
KAFFE	1	10,00	-10,00	
Summa köp			-10,00	2019-04-24
STOR NUDEL	1	75,00	-75,00	
Summa köp			-75,00	2019-04-23
KAFFE	1	10,00	-10,00	
Summa köp			-10,00	2019-04-23
EXPRESS TA	1	45,00	-45,00	
Summa köp			-45,00	2019-04-16
KEXCHOKLAD	1	10,00	-10,00	
Summa köp			-10,00	2019-04-15
EXPRESS TA	1	45,00	-45,00	
Summa köp			-45,00	2019-04-15
KAFFE	1	11,00	-11,00	
Summa köp			-11,00	2019-04-15
BAGUETTE V KYCKLINGRÖRA	1	33,00	-33,00	
PAKET DRICKA	1	0,01	-0,01	
Summa köp			-33,01	2019-04-11
